,DriversKilled,drivers,front,rear,kms,PetrolPrice,VanKilled,law,rand1,rand2,rand4,rand5,rand6
1,107,1687,867,269,9059,1.02971811805368,12,0,0.983003280125558,918,33.0955769429576,2786.94673750727,3315.91781251275
2,97,1508,825,265,7685,1.02362995884646,6,0,9.28256977116689,795,79.0472061232832,3394.25403920047,3427.69919257403
3,102,1507,806,319,9963,1.02062490635914,12,0,6.06452085077763,12,86.6584371637749,1458.42199510972,1666.37411660387
4,87,1385,814,407,10955,1.00873300511862,8,0,8.58184270327911,707,108.954045531519,3277.75361559297,2188.50245849889
5,119,1632,991,454,11823,1.01019672891934,10,0,0.198612820822746,548,111.668505113041,1538.4182050422,2505.33014225724
6,106,1511,945,427,12391,1.0058119170287,13,0,6.55109524959698,776,90.3535975421542,4804.3159829205,3324.45171270839
7,110,1559,1004,522,13460,1.03773981457839,11,0,7.09427260560915,350,42.8671576498398,2750.13014846283,2012.64440675128
8,106,1630,1091,536,14055,1.04076403554621,6,0,3.51335729472339,442,156.524243496884,1707.97450641664,3880.73180968959
9,107,1579,958,405,12106,1.03773981457839,10,0,4.16612536879256,362,101.16784754412,2473.65386847476,2167.33149493616
10,134,1653,850,437,11372,1.03026401330572,16,0,0.951137961819768,838,79.8552111519921,1651.03780751434,2276.89798144371
11,147,2152,1109,434,9834,1.02730112155946,13,0,4.60963792866096,219,78.0755000622656,1712.31716730417,3071.69640359081
12,180,2148,1113,437,9267,1.01997191539847,14,0,1.78240071050823,406,72.3020475747446,2875.86729565646,5163.94249819206
13,125,1752,925,316,9130,1.01274563494893,14,0,0.130387376993895,856,72.0763644322031,3148.22185160774,1878.18797516003
14,134,1765,903,311,8933,1.0070397563972,6,0,9.55561425536871,811,35.2500556262555,2439.89029171117,1581.73674313019
15,110,1717,1006,351,11000,1.00139606658898,8,0,2.98332740552723,295,70.102264252621,1898.52944249414,3211.18297106472
16,102,1558,892,362,10733,0.986211043713023,11,0,4.90148128708825,405,72.3084460464634,1336.75619815392,2302.36476158431
17,103,1575,990,486,12912,0.983492854059603,7,0,7.26235121721402,123,51.200121643084,3503.84856045124,3996.34254722032
18,111,1520,866,429,12926,0.980801772105387,13,0,6.36668893741444,711,118.692999332532,-6421.84593804075,2901.2607122171
19,120,1805,1095,551,13990,0.972792082183714,13,0,7.30182969011366,419,59.5585322916453,2206.18185791162,6955.67997910006
20,129,1800,1204,646,14926,0.974106238350488,11,0,1.73069028649479,47,79.5918222580239,1670.50848062356,3511.84495343956
21,122,1719,1029,456,12900,0.974252365245483,11,0,7.56501125870273,972,72.9619348665758,2188.28402083362,2479.19456238682
22,183,2008,1147,475,12034,0.963806330037465,14,0,4.2719647474587,490,76.5075287304629,2859.03748711651,3794.06441840753
23,169,2242,1171,456,10643,0.957389559626943,16,0,1.43844556761906,693,71.5915559806998,2241.87911867701,3163.4366106729
24,190,2478,1299,468,10742,0.951063062359475,14,0,6.21181641938165,704,63.6923787398362,3535.85570151759,2874.70915194286
25,134,2030,944,356,10266,0.967359671470176,17,0,7.77830613544211,268,58.0093206213083,3441.37579502949,2555.00083311523
26,108,1655,874,271,10281,0.961092224873678,16,0,4.4873738498427,517,80.0417574733392,2657.87378839642,3117.95559988109
27,104,1693,840,354,11527,0.95367254851379,15,0,1.36876711156219,130,32.4746334110668,3516.20302503756,2482.2743232738
28,117,1623,893,427,12281,0.947095915871269,13,0,0.950332120992243,271,49.5541216310512,1848.30953044843,3173.05459498862
29,157,1805,1007,465,13587,0.941176202174608,13,0,3.10283822473139,291,79.4086070034562,2287.47258591402,3109.75460349217
30,148,1746,973,440,13049,0.935321548190638,15,0,0.578710250556469,817,27.2328069279977,1461.39581145188,1807.10107175059
31,130,1795,1097,539,16055,0.929540494377308,12,0,9.96256768237799,476,88.8422295064103,2164.79920164906,6141.73353411715
32,140,1926,1194,646,15220,0.928397862431927,6,0,2.00303375255316,214,48.961672532132,5575.32029225524,4170.24191140415
33,136,1619,988,457,13824,0.927247362539862,9,0,3.78367493627593,822,86.4572284028994,2092.23193427489,3017.33371513865
34,140,1992,1077,446,12729,0.922696509793897,13,0,5.27261152397841,992,72.2979062236487,3195.7985914986,4715.68600890672
35,187,2233,1045,402,11467,0.917066851479679,14,0,9.10834113135934,934,108.873342845265,2519.47610341005,3085.10503107143
36,150,2192,1115,441,11351,0.912620719433678,15,0,5.87722398573533,607,118.094148356178,3151.54745692601,3106.60959793315
37,159,2080,1005,359,10803,0.90711603254936,14,0,1.89269504044205,574,53.2486236157633,2210.2730407262,3180.74289450053
38,143,1768,857,334,10548,0.90276328119195,3,0,0.964248026721179,911,90.2541187616008,2188.8184599276,3274.11684176581
39,114,1835,879,312,12368,0.899519176272147,12,0,4.4311485812068,102,83.9902901166062,1979.49715151812,1480.34397467125
40,127,1569,887,427,13311,0.890996386561615,13,0,9.33046801248565,487,91.381273900594,2421.85635445921,3766.40262938562
41,159,1976,1075,434,13885,0.886791925043499,12,0,8.62000332446769,871,94.2354597567409,2511.55924203414,2821.62451655682
42,156,1853,1121,486,14088,0.881592888670634,8,0,0.301127375569195,429,59.9741709218046,2545.98507762606,6367.2909360292
43,138,1965,1190,569,16932,0.889020568552906,8,0,9.55250271828845,728,83.2176512952972,1673.89196064541,3326.76825565874
44,120,1689,1058,523,16164,0.881813314444876,15,0,0.264891705010086,58,65.3921801342398,2268.8721106448,3883.24675526182
45,117,1778,939,418,14883,0.889402929599117,8,0,2.83141536172479,82,100.284425165261,2433.65143485047,2019.2026996779
46,170,1976,1074,452,13532,0.877266104275971,5,0,0.0266509922221303,108,110.579710047419,3625.87695999586,6138.20492953215
47,168,2397,1089,462,12220,0.87428846437772,17,0,6.45063988864422,791,59.3481213480756,2612.80547413522,2833.86424083682
48,198,2654,1208,497,12025,0.870354301608856,14,0,5.9747178084217,804,79.9286049217257,4155.16655413218,2440.32020549764
49,144,2097,903,354,11692,0.864499193294655,13,0,8.08504114625975,518,92.0428714787548,2720.58672625202,2306.0508255116
50,146,1963,916,347,11081,0.858726409121568,5,0,4.98471410246566,266,63.8005596927074,5775.1277090691,1551.93537172838
51,109,1677,787,276,13745,0.853982218357345,8,0,8.0995066720061,582,64.167471179013,1875.56425269503,16947.5462784339
52,131,1941,1114,472,14382,0.83821981233605,5,0,6.43639109330252,181,75.5338232159024,3708.81993592331,2415.78353112178
53,151,2003,1014,487,14391,0.845907801489325,12,0,9.26369023043662,484,58.5538235031034,2083.33582151173,2660.56313208537
54,140,1813,1022,505,15597,0.841369037739444,11,0,5.28544013854116,605,37.0115877734127,4929.47495283285,3539.67325879498
55,153,2012,1114,619,16834,0.837784051341314,13,0,4.43637422285974,189,42.4865496381057,4778.0585942925,18502.5851119365
56,140,1912,1132,640,17282,0.835107427259604,15,0,9.88474157406017,950,69.2468290371858,3453.71886389227,4957.92851823014
57,161,2084,1111,559,15779,0.828063938633846,11,0,1.30212326766923,363,61.3180890572344,4526.73379083202,5962.92626807152
